date,state,area,hour,rainfall_mm,estimated_load_mw,high_load,previous_outage_count_24h,previous_outage_duration_min,heavy_rain,outage_next_6h
2023-01-01 00:00:00.000000000,Imo,Mbaise,6,8.797610119875726,70.9875743185021,0,1,23.471538112800687,0,0
2023-01-02 02:18:22.702702702,Abia,Bende,10,1.3930324297313599,55.11649774644335,0,0,27.033217901539043,0,0
2023-01-03 04:36:45.405405405,Ebonyi,Ezza,9,2.613534647773324,113.2862477544908,1,1,78.25954837518773,0,0
2023-01-04 06:55:08.108108108,Abia,Bende,8,8.415228538821633,80.212844864653,0,1,44.724328979073434,0,0
2023-01-05 09:13:30.810810810,Abia,Isuikwuato,13,27.98414543203194,75.51539586790504,0,2,38.357833170179305,1,0
2023-01-06 11:31:53.513513513,Anambra,Ogidi,12,7.178203791941003,89.68515133188603,0,0,24.573918717067052,0,0
2023-01-07 13:50:16.216216216,Ebonyi,Afikpo,1,6.536703531062293,90.67492207483146,1,0,0.0,0,1
2023-01-08 16:08:38.918918918,Ebonyi,Abakaliki,2,5.629166982469067,102.37651307412843,1,0,63.13177711100482,0,0
2023-01-09 18:27:01.621621621,Ebonyi,Ezza,6,3.5345338964775106,65.12676773266469,0,2,0.0,0,0
2023-01-10 20:45:24.324324324,Abia,Arochukwu,20,3.3790966178415114,88.0544443374564,0,1,21.20117004445865,0,0
2023-01-11 23:03:47.027027027,Imo,Owerri,17,4.915265171385828,61.77652047298342,0,1,57.98533661550832,0,0
2023-01-13 01:22:09.729729729,Ebonyi,Onueke,2,1.32785782691627,76.19684112522543,0,0,29.97970795513456,0,0
2023-01-14 03:40:32.432432432,Abia,Isuikwuato,9,10.281214936353122,81.13485134324108,0,0,49.71455612372846,0,0
2023-01-15 05:58:55.135135135,Anambra,Awka,21,5.835484352122215,83.08967991438122,0,1,8.589140581510406,0,0
2023-01-16 08:17:17.837837837,Imo,Okigwe,6,1.3646663032167583,82.20642211694381,0,2,34.54621880586296,0,0
2023-01-17 10:35:40.540540540,Anambra,Awka,8,1.5744359221916446,96.03661965089839,1,1,49.90157114874564,0,0
2023-01-18 12:54:03.243243243,Imo,Oguta,16,23.357637447283793,68.06023218048456,0,0,16.45582452192835,1,0
2023-01-19 15:12:25.945945946,Abia,Isuikwuato,10,10.41951869944687,83.63348545806943,0,1,95.59090433225764,0,0
2023-01-20 17:30:48.648648648,Enugu,Trans-Ekulu,6,5.7386317413756744,64.821903209592,0,0,25.877282613578178,0,0
2023-01-21 19:49:11.351351351,Imo,Mbaise,23,17.765367128464572,138.41505131771763,1,0,86.35250364047715,0,1
2023-01-22 22:07:34.054054054,Anambra,Awka,13,5.6926198292084065,61.7427136447274,0,0,39.965833657606005,0,0
2023-01-24 00:25:56.756756756,Abia,Umuahia,18,1.874022506520381,65.98694691310891,0,1,0.0,0,1
2023-01-25 02:44:19.459459459,Imo,Okigwe,3,5.16057574077511,97.6529615402624,1,2,10.892975742130417,0,1
2023-01-26 05:02:42.162162162,Enugu,Nsukka,5,18.82447541572255,71.41069712997682,0,0,50.282378667941394,0,0
2023-01-27 07:21:04.864864865,Enugu,Thinkers Corner,9,11.125405206685913,97.66092255402059,1,0,75.98327257675271,0,1
2023-01-28 09:39:27.567567567,Ebonyi,Ishieke,6,20.803943765514667,83.0604518745177,0,1,98.09331397876089,1,0
